50
1
-5 0
5
4 1
3 1
5 0
-4 -3
0 -7
9
-2 1
-3 -2
6 -4
-6 -3
-1 -3
5 -1
-6 -9
5 -5
-10 9
15
-2 0
3 2
1 3
3 4
-6 -2
-7 -6
-4 -4
-12 10
-6 11
7 -9
8 -8
9 17
17 13
16 10
10 -21
14
3 0
1 -3
-7 -3
0 3
7 -7
5 7
8 6
-5 -2
-9 6
13 12
-3 15
-14 11
-18 0
-12 -7
12
4 -1
0 -2
-5 0
-4 3
-8 1
8 3
-10 -2
-12 11
2 -12
-10 12
2 -6
-15 4
8
-1 -1
5 -1
-3 -2
1 0
7 2
3 -8
7 -4
-11 -4
10
-1 0
-3 -1
-4 -3
6 4
-4 -4
7 2
10 -3
0 0
7 -10
-13 11
22
0 1
-4 2
-7 -2
3 1
6 -2
6 4
-2 7
-4 11
1 4
0 5
9 1
15 -1
-5 -18
-7 -21
-4 3
7 25
16 -15
14 -5
15 -13
7 31
-22 26
13 25
33
0 0
-2 -2
-3 0
0 3
-1 3
2 -8
-8 1
-13 12
-7 -11
7 3
12 -1
-15 11
-4 13
-14 -22
-14 16
-10 -3
-1 5
3 3
-6 10
1 -31
-18 -15
22 -5
24 13
-22 -28
3 7
-1 6
27 34
-11 22
24 14
23 -32
20 18
-13 -16
24 25
16
4 0
0 1
2 3
-4 -3
4 -4
-9 -2
3 4
7 -9
8 -11
10 3
-1 13
-9 -6
5 4
-9 10
-6 -1
16 -11
25
-3 0
-2 -3
5 1
-1 -1
-4 -6
2 -2
4 -1
4 10
6 -9
-13 3
-11 16
-5 -18
13 -6
-6 -10
14 7
0 -16
15 -1
10 -17
-21 -3
-24 2
16 28
15 -13
6 -23
20 -32
8 -8
39
-3 -1
2 0
-2 1
-8 3
0 -4
-2 -3
-9 -8
-7 5
8 -6
7 3
14 -13
10 14
12 3
-14 -12
-5 -11
-8 -23
-21 0
11 9
16 -14
3 9
23 9
15 -29
-19 32
-1 -2
6 -14
25 27
5 -24
3 10
33 -36
-25 -26
-17 24
24 42
0 31
15 -49
-40 40
-15 6
27 -45
-18 -26
-44 22
57
1 -1
-4 -3
-2 -2
2 -4
8 -6
6 4
2 10
-12 0
4 -9
9 -12
-1 12
-5 -3
-5 7
-17 -1
17 -13
6 11
-6 -17
11 3
18 21
-17 -14
-4 26
-1 -16
21 7
-25 31
-13 23
-29 29
29 -25
32 31
-26 -11
19 -19
-37 -11
-21 -36
-22 -21
-37 48
-22 8
15 58
39 -46
27 -56
-33 35
-4 36
-18 -44
42 43
-7 32
-42 -40
35 -29
24 -39
-3 -52
33 34
26 1
-10 -28
39 -5
25 48
-58 -48
-31 -63
2 75
64 -45
37 -45
6
0 0
-3 0
6 -1
-5 -5
-2 -6
-4 6
45
1 0
-2 -2
0 3
1 -4
-6 -5
-9 -2
-5 -1
9 10
2 0
-7 -9
-15 -9
7 6
-10 17
6 2
13 -22
-12 -13
20 12
6 8
-9 -6
5 6
23 -18
-6 20
-15 -19
-7 -10
-15 9
-29 -31
19 16
22 29
33 -9
-32 10
28 40
-6 46
-29 -43
2 -40
25 30
-41 -2
-23 42
18 47
2 -49
32 18
-26 -62
20 -55
18 -60
-32 48
14 -50
77
1 -1
-6 -1
-2 0
-2 4
-8 0
2 2
-1 6
8 6
-1 12
12 -11
-5 4
1 11
5 -18
9 0
8 15
-2 -6
-17 -9
-17 3
-23 -27
-14 1
1 -7
-15 -1
22 27
23 18
